euid,leid,coords,address,elementary_school,middle_school,senior_school,ward
088dea985f,583601593.0,"(38.97001, -77.05589, 0.0)",6100 Nebraska Avenue NW Washington DC 20015,Lafayette Elementary,Deal Middle School,Wilson Senior High,Ward 4 
54ca72b5b7,581755493.0,"(38.92323, -76.95232, 0.0)",3722 Hansberry Court NE Washington DC nan,Langdon Elementary,McKinley Middle School,Dunbar Senior High,Ward 5 
4da6a57e31,581755361.0,"(38.88612, -76.9804, 0.0)",1704 Massachusetts Avenue SE Washington DC nan,Payne Elementary,Eliot-Hine Middle School,Eastern Senior High,Ward 6 
29e799a000,289867661.0,"(38.94655, -77.08462, 0.0)",4317 Yuma Street NW Washington DC 20016,Janney Elementary,Deal Middle School,Wilson Senior High,Ward 3 
d216f60a89,585976581.0,"(38.86542, -76.99018, 0.0)",2101 Martin Luther King Jr Avenue SE Washington DC 20020,Ketcham Elementary,Kramer Middle School,Anacostia Senior High,Ward 8 
fb091d4e03,582728597.0,"(38.87761, -77.01815, 0.0)",1101 4th Street SW Washington DC 20024,Amidon-Bowen Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
a7eb1d55e5,582728617.0,"(38.90537, -77.03505, 0.0)",1156 15th Street NW Washington DC 20005,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
fbd775c305,582728733.0,"(38.89501, -77.03136, 0.0)",1350 Pennsylvania Avenue NW Washington DC 20004,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
a19b6a1e94,582730797.0,"(38.91494, -77.02849, 0.0)",1816 12th Street NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
24afceae9f,585977117.0,"(38.89501, -77.03136, 0.0)",1350 Pennsylvania Avenue NW Washington DC 20004,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
a2082627a0,582728657.0,"(38.90488, -77.02783, 0.0)",1121 12th Street NW Washington DC 20005,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
2e2da4e20d,584377913.0,"(38.9704, -77.02938, 0.0)",6611 13th Street NW Washington DC 20012,Takoma Elementary,New North Middle School,Coolidge Senior High,Ward 4 
8e2b4cb76b,582609981.0,"(38.95287, -77.0002, 0.0)",350 Galloway Street NE Washington DC 20011,Lasalle-Backus Elementary,New North Middle School,Coolidge Senior High,Ward 5 
4159a6bc9d,581755177.0,"(38.93644, -77.03727, 0.0)",3636 16th Street NW Washington DC nan,Bancroft Elementary,Deal Middle School,Wilson Senior High,Ward 1 
61a11d0c1a,584716393.0,"(38.91391, -77.02861, 0.0)",1200 S Street Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
ae7bc454b7,582730729.0,"(38.89698, -76.94786, 0.0)",4058 Minnesota Avenue NE Washington DC 20019,Aiton Elementary,Kelly Miller Middle School,Woodson Senior High,Ward 7 
a8930471b8,582728725.0,"(38.95029, -77.079, 0.0)",4646 40th Street NW Washington DC 20016,Janney Elementary,Deal Middle School,Wilson Senior High,Ward 3 
d9093507e2,582728769.0,"(38.89501, -77.03136, 0.0)",1350 Pennsylvania Avenue NW Washington DC 20004,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
ccc1b2dfd9,582728757.0,"(38.89698, -76.94786, 0.0)",4058 Minnesota Avenue NE Washington DC 20019,Aiton Elementary,Kelly Miller Middle School,Woodson Senior High,Ward 7 
989f5018f7,582728701.0,"(38.95029, -77.079, 0.0)",4646 40th Street NW Washington DC 20016,Janney Elementary,Deal Middle School,Wilson Senior High,Ward 3 
8cfded1548,582728813.0,"(38.89703, -77.03155, 0.0)",529 14th Street NW Washington DC 20045,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
03df6bfb6e,584588441.0,"(38.9143, -77.02171, 0.0)",1805 7th Street NW Washington DC 20001,Cleveland Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
0ee8a1e7ae,582728781.0,"(38.89393, -77.03121, 0.0)",1300 Pennsylvania Avenue Washington DC 20004,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
e7ba1cf0e7,564292253.0,"(38.88037, -76.94516, 0.0)",614 Ridge Road SE Washington DC 20019,Plummer Elementary,Sousa Middle School,Anacostia Senior High,Ward 7 
cc9ca710e2,586771289.0,"(38.90161, -77.03987, 0.0)",900 17th Street NW Washington DC 20006,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
86a19a961d,586892021.0,"(38.9198, -77.0293, 0.0)",2219 13th Street NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
ca0464d90e,527097285.0,"(38.91714, -77.03483, 0.0)",1501 U Street NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
72ccfd9fca,559421865.0,"(38.95029, -77.079, 0.0)",4646 40th Street NW Washington DC 20016,Janney Elementary,Deal Middle School,Wilson Senior High,Ward 3 
ba0541a3e3,564291933.0,"(38.90844, -77.04117, 0.0)",1776 Massachusetts Avenue NW Washington DC 20036,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
ee76bb9e3f,564292141.0,"(38.93561, -77.028, 0.0)",1022 Spring Road NW Washington DC 20010,Raymond Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 1 
39cf5658ba,515573405.0,"(38.96137, -77.0312, 0.0)",1322 Missouri Avenue NW Washington DC 20011,Brightwood Elementary,New North Middle School,Coolidge Senior High,Ward 4 
4173f4d6e9,580430153.0,"(38.92295, -77.04533, 0.0)",1914 Calvert Street NW Washington DC 20009,Oyster-Adams Elementary,Oyster-Adams Middle School,Ward 1 Ward,
2ee0fa1ed1,558875509.0,"(38.90058, -77.03339, 0.0)",805 15th Street NW Washington DC 20005,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
cc92028157,283957049.0,"(38.91434, -77.02906, 0.0)",1225 S Street NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
d064c5885e,558875525.0,"(38.91527, -77.0242, 0.0)",1832 9th Street NW Washington DC 20001,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
9c002934f0,268251189.0,"(38.91659, -77.01789, 0.0)",406 U Street NW Washington DC 20001,Cleveland Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
fac8197e06,515573425.0,"(38.95179, -76.98793, 0.0)",1252 Farragut Place NE Washington DC 20017,Brookland @ Bunker Hill Elementary,Brookland Middle School,Dunbar Senior High,Ward 5 
776aa6b75d,234071337.0,"(38.91523, -77.0267, 0.0)",1816 Vermont Avenue NW Washington DC 20001,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
94662faa29,564292485.0,"(38.91462, -77.02479, 0.0)",920 Westminster Street NW Washington DC 20001,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
0c1b906a80,527097581.0,"(38.95442, -77.05929, 0.0)",2916 Fessenden Street NW Washington DC 20008,Murch Elementary,Deal Middle School,Wilson Senior High,Ward 3 
19886102fd,564292133.0,"(38.93707, -77.06211, 0.0)",3020 Porter Street NW Washington DC 20008,Eaton Elementary,Hardy Middle School,Wilson Senior High,Ward 3 
438de2a4c3,372893377.0,"(38.97303, -77.02473, 0.0)",6812 8th Street NW Washington DC 20012,Takoma Elementary,New North Middle School,Coolidge Senior High,Ward 4 
